ID_shower,E0,theta0,Nmuons,Class
3955.00000,13916.62012,   0.00000, 392.00000,   0.00000
3956.00000,10318.79980,   0.00000, 305.00000,   0.00000
3957.00000,11746.62988,   0.00000, 285.00000,   0.00000
3958.00000,12100.69043,   0.00000, 398.00000,   0.00000
3959.00000,13408.07031,   0.00000, 304.00000,   0.00000
3960.00000,10943.91992,   0.00000, 228.00000,   0.00000
3961.00000,12889.03027,   0.00000, 333.00000,   0.00000
27174.00000,93782.32031,   0.00000,1926.00000,   0.00000
27175.00000,90893.29688,   0.00000,1904.00000,   0.00000
27176.00000,83652.75000,   0.00000,1604.00000,   0.00000
27177.00000,47465.44141,   0.00000,1245.00000,   0.00000
27178.00000,45778.57031,   0.00000, 811.00000,   0.00000
27179.00000,45766.53125,   0.00000, 917.00000,   0.00000
27180.00000,55359.94141,   0.00000,1292.00000,   0.00000
17892.00000,28278.07031,   0.00000, 613.00000,   0.00000
17893.00000,26826.69922,   0.00000, 581.00000,   0.00000
17894.00000,35793.32031,   0.00000, 822.00000,   0.00000
17895.00000,29988.97070,   0.00000, 668.00000,   0.00000
17896.00000,33351.48047,   0.00000, 867.00000,   0.00000
17897.00000,38860.07812,   0.00000, 870.00000,   0.00000
17898.00000,26600.41992,   0.00000, 615.00000,   0.00000
13377.00000,79798.20312,   0.00000,1829.00000,   0.00000
13378.00000,65955.38281,   0.00000,1450.00000,   0.00000
13379.00000,88621.59375,   0.00000,1799.00000,   0.00000
13380.00000,67362.07812,   0.00000,1391.00000,   0.00000
13381.00000,70777.14844,   0.00000,1710.00000,   0.00000
13382.00000,89992.35156,   0.00000,1429.00000,   0.00000
13383.00000,93652.85938,   0.00000,1908.00000,   0.00000
27909.00000,67774.67188,   0.00000,1753.00000,   0.00000
27910.00000,96412.65625,   0.00000,1805.00000,   0.00000
27911.00000,76079.97656,   0.00000,1632.00000,   0.00000
27912.00000,71606.65625,   0.00000,1453.00000,   0.00000
27913.00000,92739.09375,   0.00000,1693.00000,   0.00000
27914.00000,96329.28906,   0.00000,1817.00000,   0.00000
27915.00000,96127.72656,   0.00000,2125.00000,   0.00000
26901.00000,6318.54004,   0.00000, 149.00000,   0.00000
26902.00000,6652.39990,   0.00000, 159.00000,   0.00000
26903.00000,9277.32031,   0.00000, 247.00000,   0.00000
26904.00000,7910.22998,   0.00000, 188.00000,   0.00000
26905.00000,7600.00977,   0.00000, 230.00000,   0.00000
26906.00000,8759.12988,   0.00000, 257.00000,   0.00000
26907.00000,7674.47021,   0.00000, 177.00000,   0.00000
19075.00000,19558.68945,   0.00000, 596.00000,   0.00000
19076.00000,16725.49023,   0.00000, 403.00000,   0.00000
19077.00000,17413.63086,   0.00000, 478.00000,   0.00000
