ID_shower,E0,theta0,Nmuons,Class
6215.00000,24295.27930,   0.00000, 364.00000,   1.00000
6216.00000,19841.74023,   0.00000, 215.00000,   1.00000
6217.00000,18340.32031,   0.00000, 354.00000,   1.00000
6218.00000,18633.25977,   0.00000, 265.00000,   1.00000
6219.00000,20772.02930,   0.00000, 442.00000,   1.00000
6220.00000,25030.68945,   0.00000, 337.00000,   1.00000
6221.00000,23961.16016,   0.00000, 300.00000,   1.00000
6222.00000,19908.82031,   0.00000, 218.00000,   1.00000
6223.00000,16171.78027,   0.00000, 110.00000,   1.00000
6224.00000,20153.74023,   0.00000, 483.00000,   1.00000
6225.00000,20725.30078,   0.00000, 509.00000,   1.00000
28116.00000,71131.11719,   0.00000,1042.00000,   1.00000
28117.00000,98476.34375,   0.00000,1146.00000,   1.00000
28118.00000,69896.29688,   0.00000,1615.00000,   1.00000
28119.00000,83404.28125,   0.00000,1069.00000,   1.00000
28120.00000,86103.57812,   0.00000,1274.00000,   1.00000
28121.00000,99961.21875,   0.00000,1407.00000,   1.00000
28122.00000,94622.82031,   0.00000,1384.00000,   1.00000
28123.00000,78450.25000,   0.00000, 837.00000,   1.00000
28124.00000,76001.77344,   0.00000, 705.00000,   1.00000
28125.00000,67372.61719,   0.00000,1488.00000,   1.00000
28126.00000,99858.53906,   0.00000,1530.00000,   1.00000
21021.00000,23427.47070,   0.00000, 293.00000,   1.00000
21022.00000,21975.71094,   0.00000, 248.00000,   1.00000
21023.00000,16103.25000,   0.00000, 196.00000,   1.00000
21024.00000,17873.26953,   0.00000, 400.00000,   1.00000
21025.00000,22409.83984,   0.00000, 343.00000,   1.00000
21026.00000,16107.75977,   0.00000, 376.00000,   1.00000
21027.00000,16743.63086,   0.00000, 234.00000,   1.00000
21028.00000,16804.93945,   0.00000, 298.00000,   1.00000
21029.00000,17142.13086,   0.00000, 249.00000,   1.00000
21030.00000,18184.64062,   0.00000, 180.00000,   1.00000
21031.00000,15982.91992,   0.00000, 194.00000,   1.00000
29975.00000,1596.56006,   0.00000,  26.00000,   1.00000
29976.00000,2230.60010,   0.00000,  39.00000,   1.00000
29977.00000,1685.52002,   0.00000,  32.00000,   1.00000
29978.00000,2213.46997,   0.00000,  11.00000,   1.00000
29979.00000,2360.57007,   0.00000,  63.00000,   1.00000
29980.00000,1596.95996,   0.00000,  36.00000,   1.00000
29981.00000,2391.26001,   0.00000,  14.00000,   1.00000
29982.00000,2194.75000,   0.00000,  50.00000,   1.00000
29983.00000,2416.98999,   0.00000,  58.00000,   1.00000
29984.00000,2219.37012,   0.00000,  16.00000,   1.00000
29985.00000,1724.54004,   0.00000,  38.00000,   1.00000
23815.00000,30816.97070,   0.00000, 549.00000,   1.00000
23816.00000,38285.96875,   0.00000, 541.00000,   1.00000
23817.00000,31063.97070,   0.00000, 458.00000,   1.00000
23818.00000,39329.69922,   0.00000, 433.00000,   1.00000
23819.00000,33658.37109,   0.00000, 498.00000,   1.00000
23820.00000,34285.03906,   0.00000, 567.00000,   1.00000
23821.00000,27040.26953,   0.00000, 623.00000,   1.00000
23822.00000,25742.64062,   0.00000, 499.00000,   1.00000
23823.00000,38113.12109,   0.00000, 492.00000,   1.00000
23824.00000,28226.63086,   0.00000, 379.00000,   1.00000
23825.00000,36602.44141,   0.00000, 370.00000,   1.00000
11330.00000,89881.85156,   0.00000,1019.00000,   1.00000
11331.00000,73223.36719,   0.00000,1076.00000,   1.00000
11332.00000,96290.99219,   0.00000,1553.00000,   1.00000
11333.00000,70503.22656,   0.00000,1097.00000,   1.00000
11334.00000,83565.34375,   0.00000,1567.00000,   1.00000
11335.00000,71455.40625,   0.00000, 599.00000,   1.00000
11336.00000,69423.71875,   0.00000,1027.00000,   1.00000
11337.00000,84426.27344,   0.00000, 596.00000,   1.00000
11338.00000,93344.82812,   0.00000,1077.00000,   1.00000
11339.00000,98299.79688,   0.00000, 925.00000,   1.00000
11340.00000,87850.47656,   0.00000,1439.00000,   1.00000
13750.00000,23280.08984,   0.00000, 577.00000,   1.00000
13751.00000,17182.60938,   0.00000, 411.00000,   1.00000
13752.00000,19679.94922,   0.00000, 481.00000,   1.00000
13753.00000,20107.00000,   0.00000, 432.00000,   1.00000
13754.00000,25113.19922,   0.00000, 375.00000,   1.00000
13755.00000,24344.74023,   0.00000, 507.00000,   1.00000
13756.00000,17709.32031,   0.00000, 156.00000,   1.00000
13757.00000,24315.32031,   0.00000, 211.00000,   1.00000
13758.00000,20044.38086,   0.00000, 255.00000,   1.00000
13759.00000,16016.66992,   0.00000, 391.00000,   1.00000
13760.00000,23512.32031,   0.00000, 261.00000,   1.00000
16951.00000,10665.91016,   0.00000,  99.00000,   1.00000
16952.00000,11502.20996,   0.00000,  87.00000,   1.00000
16953.00000,11038.57031,   0.00000, 115.00000,   1.00000
16954.00000,13599.50000,   0.00000, 193.00000,   1.00000
16955.00000,11058.62012,   0.00000, 103.00000,   1.00000
16956.00000,14891.04980,   0.00000, 312.00000,   1.00000
16957.00000,15710.91016,   0.00000, 220.00000,   1.00000
16958.00000,13800.00000,   0.00000, 181.00000,   1.00000
16959.00000,14971.42969,   0.00000, 176.00000,   1.00000
16960.00000,15126.24023,   0.00000, 388.00000,   1.00000
16961.00000,13581.28027,   0.00000, 124.00000,   1.00000
10219.00000,40762.53906,   0.00000, 551.00000,   1.00000
10220.00000,45314.21875,   0.00000, 693.00000,   1.00000
10221.00000,47097.30078,   0.00000, 387.00000,   1.00000
10222.00000,57586.92969,   0.00000, 757.00000,   1.00000
10223.00000,46454.55859,   0.00000, 650.00000,   1.00000
10224.00000,59519.12109,   0.00000, 900.00000,   1.00000
10225.00000,55768.03906,   0.00000, 645.00000,   1.00000
10226.00000,54944.75000,   0.00000, 674.00000,   1.00000
10227.00000,42391.39062,   0.00000, 672.00000,   1.00000
10228.00000,47524.16016,   0.00000, 714.00000,   1.00000
10229.00000,51313.12891,   0.00000, 712.00000,   1.00000
22341.00000,2079.09009,   0.00000,  11.00000,   1.00000
22342.00000,1835.42004,   0.00000,  29.00000,   1.00000
22343.00000,2061.42993,   0.00000,  30.00000,   1.00000
22344.00000,1673.62000,   0.00000,  68.00000,   1.00000
22345.00000,2296.59009,   0.00000,  47.00000,   1.00000
22346.00000,2310.55005,   0.00000,  38.00000,   1.00000
22347.00000,2315.52002,   0.00000,  39.00000,   1.00000
22348.00000,1945.63000,   0.00000,  31.00000,   1.00000
22349.00000,1794.53003,   0.00000,  41.00000,   1.00000
22350.00000,2400.66992,   0.00000,  38.00000,   1.00000
22351.00000,2320.77002,   0.00000,  87.00000,   1.00000
15389.00000,2218.69995,   0.00000,  44.00000,   1.00000
15390.00000,1975.93005,   0.00000,  41.00000,   1.00000
15391.00000,1701.29004,   0.00000,  17.00000,   1.00000
15392.00000,1809.12000,   0.00000,  47.00000,   1.00000
15393.00000,11753.70020,   0.00000, 206.00000,   1.00000
15394.00000,14165.75000,   0.00000, 223.00000,   1.00000
15395.00000,10720.26953,   0.00000, 216.00000,   1.00000
15396.00000,10323.86035,   0.00000,  91.00000,   1.00000
15397.00000,15190.66016,   0.00000, 275.00000,   1.00000
15398.00000,12115.34961,   0.00000, 110.00000,   1.00000
15399.00000,15828.57031,   0.00000, 264.00000,   1.00000
17732.00000,3822.65991,   0.00000,  59.00000,   1.00000
17733.00000,3028.05005,   0.00000,  59.00000,   1.00000
17734.00000,3540.30005,   0.00000,  59.00000,   1.00000
17735.00000,3136.61011,   0.00000,  40.00000,   1.00000
17736.00000,3070.20996,   0.00000,  35.00000,   1.00000
17737.00000,2672.21997,   0.00000,  31.00000,   1.00000
17738.00000,3883.86011,   0.00000,  48.00000,   1.00000
17739.00000,2989.86011,   0.00000,  80.00000,   1.00000
17740.00000,3216.05005,   0.00000,  96.00000,   1.00000
17741.00000,2754.40991,   0.00000,  55.00000,   1.00000
17742.00000,2881.20996,   0.00000,  62.00000,   1.00000
26576.00000,2853.67993,   0.00000,  61.00000,   1.00000
26577.00000,3227.02002,   0.00000,  25.00000,   1.00000
26578.00000,2885.60010,   0.00000,  37.00000,   1.00000
26579.00000,2875.47998,   0.00000,  57.00000,   1.00000
26580.00000,2663.32007,   0.00000,  28.00000,   1.00000
26581.00000,3507.41992,   0.00000,  32.00000,   1.00000
26582.00000,2825.22998,   0.00000, 100.00000,   1.00000
26583.00000,3746.29004,   0.00000,  64.00000,   1.00000
26584.00000,2899.98999,   0.00000,  63.00000,   1.00000
26585.00000,2626.34009,   0.00000,  32.00000,   1.00000
26586.00000,3602.39990,   0.00000,  72.00000,   1.00000
7359.00000,1085.50000,   0.00000,  27.00000,   1.00000
7360.00000,1169.54004,   0.00000,  18.00000,   1.00000
7361.00000,1172.37000,   0.00000,  35.00000,   1.00000
7362.00000,1331.78003,   0.00000,  23.00000,   1.00000
7363.00000,1376.40002,   0.00000,  27.00000,   1.00000
7364.00000,1536.64001,   0.00000,  32.00000,   1.00000
7365.00000,1113.89001,   0.00000,  79.00000,   1.00000
7366.00000,1230.14001,   0.00000,  23.00000,   1.00000
7367.00000,1455.40002,   0.00000,  26.00000,   1.00000
7368.00000,1174.21997,   0.00000,  33.00000,   1.00000
7369.00000,1045.85999,   0.00000,  16.00000,   1.00000
19987.00000,70238.77344,   0.00000, 490.00000,   1.00000
19988.00000,91763.52344,   0.00000, 903.00000,   1.00000
19989.00000,89238.78906,   0.00000, 499.00000,   1.00000
19990.00000,85032.67188,   0.00000,1193.00000,   1.00000
19991.00000,99596.14844,   0.00000, 987.00000,   1.00000
19992.00000,96490.03125,   0.00000, 600.00000,   1.00000
19993.00000,7097.70996,   0.00000, 103.00000,   1.00000
19994.00000,9966.70020,   0.00000, 122.00000,   1.00000
19995.00000,8008.89014,   0.00000,  78.00000,   1.00000
19996.00000,9572.37012,   0.00000, 132.00000,   1.00000
19997.00000,9996.83008,   0.00000, 126.00000,   1.00000
15444.00000,11300.42969,   0.00000, 106.00000,   1.00000
15445.00000,12297.79004,   0.00000, 107.00000,   1.00000
15446.00000,10726.45996,   0.00000, 106.00000,   1.00000
15447.00000,10279.33984,   0.00000, 227.00000,   1.00000
15448.00000,11397.42969,   0.00000, 231.00000,   1.00000
15449.00000,10522.79980,   0.00000, 134.00000,   1.00000
15450.00000,12740.83008,   0.00000, 166.00000,   1.00000
15451.00000,13952.28027,   0.00000, 268.00000,   1.00000
15452.00000,12560.88965,   0.00000,  94.00000,   1.00000
15453.00000,11410.40039,   0.00000,  70.00000,   1.00000
15454.00000,15075.96973,   0.00000, 352.00000,   1.00000
18645.00000,15627.79980,   0.00000, 290.00000,   1.00000
18646.00000,13519.87988,   0.00000, 179.00000,   1.00000
18647.00000,15757.49023,   0.00000, 254.00000,   1.00000
18648.00000,12643.04980,   0.00000, 103.00000,   1.00000
18649.00000,14886.54004,   0.00000, 108.00000,   1.00000
18650.00000,15793.69043,   0.00000, 211.00000,   1.00000
18651.00000,14197.55957,   0.00000, 135.00000,   1.00000
18652.00000,11067.19043,   0.00000, 228.00000,   1.00000
18653.00000,10903.11035,   0.00000, 133.00000,   1.00000
18654.00000,15531.66016,   0.00000, 165.00000,   1.00000
18655.00000,10184.23047,   0.00000, 139.00000,   1.00000
28347.00000,1701.97998,   0.00000,  11.00000,   1.00000
28348.00000,1891.93994,   0.00000,  26.00000,   1.00000
28349.00000,1724.81006,   0.00000,  44.00000,   1.00000
28350.00000,1711.58997,   0.00000,  40.00000,   1.00000
28351.00000,2226.86011,   0.00000,  37.00000,   1.00000
28352.00000,2268.85010,   0.00000,  53.00000,   1.00000
28353.00000,1648.17004,   0.00000,  18.00000,   1.00000
28354.00000,2070.67993,   0.00000,  28.00000,   1.00000
28355.00000,1902.63000,   0.00000,  28.00000,   1.00000
28356.00000,1775.43994,   0.00000,  24.00000,   1.00000
28357.00000,2329.78003,   0.00000,  37.00000,   1.00000
4246.00000,12029.17969,   0.00000,  85.00000,   1.00000
4247.00000,14012.20996,   0.00000,  53.00000,   1.00000
4248.00000,15828.71973,   0.00000, 156.00000,   1.00000
4249.00000,15491.08008,   0.00000, 235.00000,   1.00000
4250.00000,12813.41016,   0.00000, 194.00000,   1.00000
4251.00000,13777.57031,   0.00000, 378.00000,   1.00000
4252.00000,14570.34961,   0.00000, 360.00000,   1.00000
4253.00000,11128.49023,   0.00000, 134.00000,   1.00000
4254.00000,12019.41992,   0.00000, 266.00000,   1.00000
4255.00000,10900.63965,   0.00000, 253.00000,   1.00000
4256.00000,13673.08008,   0.00000, 149.00000,   1.00000
8921.00000,11834.98047,   0.00000, 233.00000,   1.00000
8922.00000,14412.58984,   0.00000,  89.00000,   1.00000
8923.00000,11081.40039,   0.00000, 309.00000,   1.00000
8924.00000,11363.26953,   0.00000, 163.00000,   1.00000
8925.00000,15257.37988,   0.00000, 138.00000,   1.00000
8926.00000,9999.08984,   0.00000,   7.00000,   1.00000
8927.00000,12753.90039,   0.00000, 167.00000,   1.00000
8928.00000,11126.03027,   0.00000, 218.00000,   1.00000
8929.00000,15734.83984,   0.00000, 132.00000,   1.00000
8930.00000,15349.75000,   0.00000, 255.00000,   1.00000
8931.00000,14435.83008,   0.00000, 308.00000,   1.00000
23540.00000,8577.87012,   0.00000, 174.00000,   1.00000
23541.00000,9685.80957,   0.00000, 131.00000,   1.00000
23542.00000,6471.43994,   0.00000, 142.00000,   1.00000
23543.00000,7067.54004,   0.00000,  81.00000,   1.00000
23544.00000,7625.64990,   0.00000, 135.00000,   1.00000
23545.00000,9934.29004,   0.00000, 193.00000,   1.00000
23546.00000,6322.08008,   0.00000, 117.00000,   1.00000
23547.00000,7397.60986,   0.00000, 171.00000,   1.00000
23548.00000,8831.74023,   0.00000, 264.00000,   1.00000
23549.00000,6893.70996,   0.00000, 182.00000,   1.00000
23550.00000,6548.66016,   0.00000,  48.00000,   1.00000
20240.00000,23270.09961,   0.00000, 338.00000,   1.00000
20241.00000,23423.55078,   0.00000, 404.00000,   1.00000
20242.00000,18885.96094,   0.00000, 237.00000,   1.00000
20243.00000,24081.50000,   0.00000, 236.00000,   1.00000
20244.00000,23867.44922,   0.00000, 398.00000,   1.00000
20245.00000,21314.93945,   0.00000, 374.00000,   1.00000
20246.00000,23501.33984,   0.00000, 198.00000,   1.00000
20247.00000,19103.32031,   0.00000, 292.00000,   1.00000
20248.00000,20648.33008,   0.00000, 264.00000,   1.00000
20249.00000,15984.41016,   0.00000, 179.00000,   1.00000
20250.00000,17233.77930,   0.00000, 351.00000,   1.00000
18381.00000,1361.03003,   0.00000,  53.00000,   1.00000
18382.00000,1373.43005,   0.00000,  54.00000,   1.00000
18383.00000,1397.57996,   0.00000,  27.00000,   1.00000
18384.00000,1564.16003,   0.00000,  14.00000,   1.00000
18385.00000,1347.43005,   0.00000,  23.00000,   1.00000
18386.00000,1260.95996,   0.00000,  31.00000,   1.00000
18387.00000,1335.67004,   0.00000,  57.00000,   1.00000
18388.00000,1473.98999,   0.00000,  34.00000,   1.00000
18389.00000,1513.30005,   0.00000,  13.00000,   1.00000
18390.00000,1040.29004,   0.00000,  19.00000,   1.00000
18391.00000,1046.13000,   0.00000,  15.00000,   1.00000
13409.00000,10099.16992,   0.00000, 171.00000,   1.00000
13410.00000,10231.95020,   0.00000,  98.00000,   1.00000
13411.00000,13772.90039,   0.00000, 214.00000,   1.00000
13412.00000,15018.98047,   0.00000, 331.00000,   1.00000
13413.00000,10460.50977,   0.00000, 196.00000,   1.00000
13414.00000,12380.96973,   0.00000, 285.00000,   1.00000
13415.00000,10737.75000,   0.00000, 193.00000,   1.00000
13416.00000,14369.84961,   0.00000, 236.00000,   1.00000
13417.00000,10242.38965,   0.00000,  78.00000,   1.00000
13418.00000,13582.66016,   0.00000, 373.00000,   1.00000
13419.00000,11750.58984,   0.00000, 275.00000,   1.00000
11407.00000,65084.35938,   0.00000, 898.00000,   1.00000
11408.00000,65314.16016,   0.00000,1115.00000,   1.00000
